customer_id,age,geography,billing_preference,vulnerability,tenure_months,payment_method,product_broadband,product_tv,product_voice,product_tier,contract_lifecycle,average_monthly_spend,contact_frequency_pre_migration,number_of_complaints,number_of_faults,late_payments,missed_payments,number_of_calls_post_migration,churn_after_migration,change_in_spend,change_in_products
CUST000001,69,Suburban,Standard Paper,No,67,Cheque,1,0,0,Copper,In Contract,52.65,2,1,2,0,0,2,0,23.97,0
CUST000002,32,Rural,Large Font,No,69,Card,1,1,1,Fibre,Month to Month,55.01,3,2,2,2,0,5,0,-10.88,0
CUST000003,78,Urban,Large Font,No,224,Direct Debit,1,0,1,Fibre,Out of Contract,12.64,1,0,2,0,0,3,0,10.42,0
CUST000004,38,Urban,Standard Paper,No,105,Direct Debit,1,1,0,Copper,Out of Contract,47.75,2,0,2,0,0,4,0,6.83,1
CUST000005,41,Urban,Paperless,No,202,Direct Debit,1,0,1,Fibre,Out of Contract,78.49,2,1,2,1,0,1,0,17.75,0
CUST000006,20,Urban,Standard Paper,No,38,Card,1,1,1,Fibre,In Contract,138.35,0,0,0,0,0,3,0,14.45,0
CUST000007,39,Suburban,Large Font,No,70,Card,1,0,1,Fibre,In Contract,91.89,3,0,1,1,0,1,0,12.09,0
CUST000008,70,Suburban,Large Font,No,203,Card,1,0,0,Fibre,Out of Contract,34.44,3,2,0,0,0,4,1,-43.41,0
CUST000009,19,Suburban,Paperless,No,81,Direct Debit,0,1,1,Copper,In Contract,33.45,2,1,1,0,0,5,0,2.08,1
CUST000010,47,Urban,Paperless,No,187,Direct Debit,1,0,1,Fibre,In Contract,57.16,1,2,2,2,1,3,0,8.88,1
CUST000011,55,Urban,Large Font,No,66,Direct Debit,1,0,0,Fibre Plus,In Contract,66.98,4,3,1,1,0,5,1,-29.97,0
CUST000012,19,Urban,Paperless,No,41,Direct Debit,1,0,1,Copper,Month to Month,78.39,0,0,0,0,0,3,0,11.57,1
CUST000013,81,Urban,Paperless,No,24,Direct Debit,1,1,1,Fibre,Out of Contract,60.27,1,1,0,2,1,1,0,33.89,1
CUST000014,77,Suburban,Large Font,No,178,Direct Debit,1,1,1,Fibre,In Contract,24.23,0,4,0,0,0,4,0,-10.2,1
CUST000015,38,Urban,Large Font,No,5,Direct Debit,1,1,0,Fibre Plus,In Contract,22.29,3,2,1,1,0,1,0,-9.82,0
CUST000016,50,Urban,Paperless,No,21,Direct Debit,0,1,1,Fibre,Out of Contract,92.71,2,0,2,0,0,3,0,3.68,-1
CUST000017,75,Urban,Large Font,No,6,Direct Debit,1,0,0,Copper,In Contract,41.16,3,0,0,0,0,2,0,-7.19,0
CUST000018,39,Urban,Large Font,No,132,Direct Debit,1,1,0,Fibre,In Contract,27.54,4,1,0,0,0,2,0,-2.97,0
CUST000019,66,Suburban,Paperless,No,9,Cheque,1,0,0,Fibre,Month to Month,25.38,2,0,4,0,1,4,0,8.65,0
CUST000020,76,Rural,Paperless,No,69,Direct Debit,1,0,1,Copper,Month to Month,34.07,3,1,2,1,0,5,0,-18.54,-2
CUST000021,59,Urban,Standard Paper,No,68,Cheque,1,1,1,Fibre,Month to Month,99.18,1,0,1,2,0,0,0,-0.1,0
